Year,Sales
2013,47.52
2013,81.384
2014,2495.376
2015,61077.636
2014,63309.528
2014,63891.696
2014,64104.168
2014,65428.14
2015,67281.276
2015,67489.032
2016,69097.26
2014,70104.54
2015,71452.38
2014,71830.2
2015,71846.484
2016,72116.04
2015,72611.772
2015,73103.004
2014,73350.408
2015,73708.92
2015,75106.992
2014,75182.352
2014,75723.024
2014,76155.48
2016,76905
2016,77061.3
2015,77187.12
2016,77322.816
2015,77358.396
2016,77839.68
2016,79159.812
2016,80289.36
2017,80556.42
2015,81455.112
2016,82035.156
2014,82568.796
2016,83339.58
2016,86507.64
2017,86541
2017,88803.36
2017,89237.52
2017,89375.4
2017,89836.02
2017,90916.38
2017,91183.02
2018,92430
2017,94367.22
2016,94829.4
2018,95154.78
2018,96963.36
2018,99144.6
2018,99623.94
2018,99825.9
2018,102031.26
2018,102400.92
2018,103399.68
2017,104794.8
2019,106654.32
2019,107054.04
2019,107395.14
2019,107945.28
2019,110516.52
2018,110819.82
2018,111157.2
2017,112466.16
2019,113980.32
2019,114163.5
2019,116392.5
2019,117067.86
2020,117224.22
2020,118026.9
2018,118944.18
2019,119992.2
2020,120941.28
2020,128019.78
2020,129626.58
2020,130578.72
2020,131479.62
2019,133784.94
2020,133977.06
2021,137006.64
2020,137109.84
2020,140731.74
2021,143243.16
2021,144137.58
2021,144276.6
2020,146572.56
2021,147345.9
2020,148002.66
2021,148109.58
2017,148811.28
2019,150598.38
2021,152802.48
2021,154829.04
2021,159339.42
2021,159935.58
2021,160978.56
2022,170686.68
2022,180072.48
2022,182792.94
2022,195174.06
2022,195338.76
2021,196833.42
2022,199405.74
2022,200604.24
2022,200993.46
2022,202159.74
2022,218030.4
